,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC09854756,AC09854756,990030110990603338,http://data.onb.ac.at/ABO/%2BZ184040300,Z184040300,"Fellows, Charles",,,A journal written during an excursion in Asia minor 1838.,,,London,,,Murray,,,1839,1839,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 291",,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Anatolien,TravelogueE19 Asien $ TravelogueE19 Orient,,178356-C MAG,ZALT,
AC09993511,AC09993511,990031528960603338,http://data.onb.ac.at/ABO/%2BZ183924802,Z183924802,"Johnson, John",,,"A journey from India to England, through Persia, Georgia, Russia, Poland and Prussia, in the year 1817",,,London,,,Longman,,,1818,1818,,,,,,,,,,eng,,,,,,,,,,,,,,,Asien ; Westen ; Reise,TravelogueE19 Asien Europa $ TravelogueE19 Orient,,180336-C MAG,ZALT,
AC09959695,AC09959695,990031183800603338,http://data.onb.ac.at/ABO/%2BZ183917901,Z183917901,"Broughton, John Cam Hobhouse ; http://d-nb.info/gnd/117525553",,,"A journey through Albania, and other provinces of Turkey in Europe and Asia, to Constantinopel, during the years 1809 and 1810",,,London,,,Cawthorn,,,1813,1813,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 033",,,,eng,,,,,,,,,,,,,,,Albanien ; Forschungsreise ; Forschungsreise ; Türkei,TravelogueE19 Europa Asien $ TravelogueE19 Orient,,180309-C MAG,ZALT,
AC10137705,AC10137705,990033000300603338,"http://data.onb.ac.at/ABO/%2BZ164177901;
http://data.onb.ac.at/ABO/%2BZ183926008","Z164177901;
Z183926008","Morier, James Justinian ; http://d-nb.info/gnd/115342419",,,"A journey through Persia, Armenia, and Asia minor, to Constantinople, in the years 1808 and 1809; in which is included, some account of the proceedings of his Majesty's mission, under Sir Harford Jones, Bart. K.C. to the court of the King of Persia $ by James Morier",,,London,,,Longman,,,1812,1812,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 026",,,,eng,,,,"Morier, James",,,,,,,,,,,Naher Osten ; Reise,TravelogueE19 Asien $ TravelogueE19 Orient,,180346-C MAG $ 266058-C MAG,ZALT $ ZFID,
AC10137706,AC10137706,990033000310603338,http://data.onb.ac.at/ABO/%2BZ136981808,Z136981808,"Morier, James",,,"A second journey through Persia, Armenia, and Asia Minor, to Constantinople, between the year 1810 and 1816 (etc.)",,,London,,,Longman,,,1818,1818,,,,,,"Bibliografischer Nachweis: Weber, Voyges and Travels (1952), 057",,,,eng,,,,,,,,,,,,,,,Naher Osten ; Reise,TravelogueE19 Asien $ TravelogueE19 Orient,,180343-D MAG,ZALT,
AC12310382,AC12310382,990047402340603338,http://data.onb.ac.at/ABO/%2BZ221011608,Z221011608,"Quin, Michael John","A steam voyage down the Danube. With sketches of Hungary, Wallachia, Servia, Turkey, etc.",,"A steam voyage down the Danube. With sketches of Hungary, Wallachia, Servia, Turkey, etc.",1,,London,,,Bentley,,,1836,1836,,,,,,,,,,eng,,,,,,,,,,,,,,,Donau-Gebiet ; Reise,TravelogueE19 Orient,,178104-B.1 MAG,ZALT,
AC12310386,AC12310386,990047402360603338,http://data.onb.ac.at/ABO/%2BZ221011700,Z221011700,"Quin, Michael John","A steam voyage down the Danube. With sketches of Hungary, Wallachia, Servia, Turkey, etc.",,"A steam voyage down the Danube. With sketches of Hungary, Wallachia, Servia, Turkey, etc.",2,,London,,,Bentley,,,1836,1836,,,,,,,,,,eng,,,,,,,,,,,,,,,Donau-Gebiet ; Reise,TravelogueE19 Orient,,178104-B.2 MAG,ZALT,
AC11681855,AC11681855,990045212540603338,http://data.onb.ac.at/ABO/%2BZ175784503,Z175784503,"Monro, C ..... E ..... Vere-","A Summer Ramble in Syria, with a Tartar Trip from Aleppo to Stamboul. (With 2 plates.)",,"A Summer Ramble in Syria, with a Tartar Trip from Aleppo to Stamboul. (With 2 plates.)",1,,London,,,Bentley,,,1835,1835,"XIII, 316 S., [2] Bl.",1 Ill.,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 234",,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Anatolien ; Forschungsreise ; Syrien,TravelogueE19 Asien $ TravelogueE19 Orient,,BE.3.Q.55.(Vol.1) PRUNK,ZALT,
AC11681862,AC11681862,990045212560603338,http://data.onb.ac.at/ABO/%2BZ175784400,Z175784400,"Monro, C ..... E ..... Vere-","A Summer Ramble in Syria, with a Tartar Trip from Aleppo to Stamboul. (With 2 plates.)",,"A Summer Ramble in Syria, with a Tartar Trip from Aleppo to Stamboul. (With 2 plates.)",2,,London,,,Bentley,,,1835,1835,"XII, 311 S., [1] Bl.",1 Ill.,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 234",,,,eng,,,,,,,,,,,,,,,Forschungsreise ; Anatolien ; Forschungsreise ; Syrien,TravelogueE19 Asien $ TravelogueE19 Orient,,BE.3.Q.55.(Vol.2) PRUNK,ZALT,
AC10421004,AC10421004,990035893270603338,http://data.onb.ac.at/ABO/%2BZ179646009,Z179646009,"Waddington, George",,,"A visit to Greece, in 1823 and 1824",,2. ed.,London,,,Murray,,,1825,1825,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1952), 136",,,,eng,,,,,,,,,,,,,,,Griechenland ; Reise,TravelogueE19 Europa $ TravelogueE19 Orient,,80.W.26 PRUNK,ZALT,
