,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC14501706,AC14501706,990057734080603338,http://data.onb.ac.at/ABO/%2BZ260093605,Z260093605,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon $ Von ihm selbst geschrieben [das heißt Johann Heinrich Mayr],Drittes Bändchen = Fünftes und sechstes Buch ; Mit 3 Kupfern,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1815,1815,"1 ungezähltes Blatt Bildtafel, XVIII, 232 Seiten, 1 ungezählte Seite, 2 ungezähltes gefaltetes Blatt Bildtafel",3 Illustrationen,3,,8°,"1 Illustration in Aquatinta als Frontispiz (gezeichnet von J. Mayr, radiert von F. Hegi), 2 Illustrationen in Aquatinta (radiert von F. Hegi). - Fußnoten",,,,ger,,In Fraktur,,,,,,,"Hegi, Franz ; http://d-nb.info/gnd/118702742",,,Reisebericht,,,Palästina ; Reise ; Geschichte 1814 circa ; Naher Osten ; Jerusalem ; Ägypten ; Osmanisches Reich ; Orient,TravelogueD19 Asien Europa $ TravelogueD19 Orient,,543806-B.3 MAG,ZKAR,
AC14501705,AC14501705,990057734070603338,http://data.onb.ac.at/ABO/%2BZ260093502,Z260093502,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon $ Von ihm selbst geschrieben [das heißt Johann Heinrich Mayr],Zweytes Bändchen = Drittes und viertes Buch ; Mit einer Ansicht von Jerusalem,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1815,1815,"244 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,"Die Illustration ist eine Illustration in Aquatinta als Frontispiz (gezeichnet von J. H. Mayr, radiert von F. Hegi). - Fußnoten","Bibliografischer Nachweis: KVK . - Anonym erschienen, Verfasser nach Altem Zettelkatalog",,,ger,,In Fraktur,,,,,,,"Hegi, Franz ; http://d-nb.info/gnd/118702742",,,Reisebericht,,,Palästina ; Reise ; Geschichte 1814 circa ; Naher Osten ; Jerusalem ; Ägypten ; Osmanisches Reich ; Orient,TravelogueD19 Asien $ TravelogueD19 Orient,,543806-B.2 MAG,ZKAR,
AC14501703,AC14501703,990057734060603338,http://data.onb.ac.at/ABO/%2BZ26009340X,Z26009340X,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon $ Von ihm selbst geschrieben [das heißt Johann Heinrich Mayr],Erstes Bändchen ; Erstes und zweytes Buch,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1815,1815,"XII, 212 Seiten, 2 ungezählte Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: KVK. - Anonym erschienen, Verfasser nach Altem Zettelkatalog","Seite [III]-IV: Vorrede des Verfassers, Datum Arbon 1814",,ger,,In Fraktur,,,,,,,,,,Reisebericht,,,Palästina ; Reise ; Geschichte 1814 circa ; Naher Osten ; Jerusalem ; Ägypten ; Osmanisches Reich ; Orient,TravelogueD19 Asien Europa Afrika $ TravelogueD19 Orient,,543806-B.1 MAG,ZKAR,
AC14479261,AC14479261,990057541110603338,http://data.onb.ac.at/ABO/%2BZ258335808,Z258335808,,,Taschen-Bibliothek der wichtigsten und interessantesten See- und Landreisen : von der Erfindung der Buchdruckerkunst bis auf unsere Zeiten ; 64. Bändchen,"Taschen=Bibliothek der wichtigsten und interessantesten Reisen durch Aegypten $ Mit Landkarten, Planen, Portraits und anderen Abbildungen $ Verfaßt von mehreren Gelehrten, und herausgegeben von Joachim Heinrich Jäck, königl. Bibliothekar zu Bamberg",III. Theil. 3. Bändchen,,Grätz,Graz ; http://d-nb.info/gnd/4021912-4,Graz ; http://d-nb.info/gnd/4021912-4,Druck und Papier von Joh. Andr. Kienreich,"J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846","J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846",1832,1832,"120 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,12°,1 Illustration in Kufperstich als Frontispiz,,,,ger,,Enthält Expression von aus dem Französischen übersetztem Werk $ In Fraktur,,"Schneidawind, Franz Josef Adolf ; http://d-nb.info/gnd/116822589 $ Minutoli, Wolfradine <<von>> ; http://d-nb.info/gnd/117049204",,"Schneidawind, Franz Josef Adolf ; http://d-nb.info/gnd/116822589","Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903",,,,,Reisebericht,,"Minutoli, Wolfradine <<von>> : Mes souvenirs d'Égypte $ Carne, John : Syria, the Holy Land and Asia Minor illustrated","Minutoli, Wolfradine <<von>> ; Menu von Minutoli, Heinrich ; Ägypten ; Reise ; Geschichte 1820-1822 ; Carne, John ; Palästina ; Syrien ; Reise ; Geschichte 1821-",TravelogueD19 Asien Afrika $ TravelogueD19 Orient,TravelogueD19 Zusammenstellung,300638-A.64 MAG,ZKAR,
AC14478096,AC14478096,990057538280603338,http://data.onb.ac.at/ABO/%2BZ258332406,Z258332406,,Taschenbibliothek der wichtigsten und interessantesten Reisen durch Palästina,Taschen-Bibliothek der wichtigsten und interessantesten See- und Landreisen : von der Erfindung der Buchdruckerkunst bis auf unsere Zeiten ; 24. Bändchen,"Taschen=Bibliothek der wichtigsten und interessantesten Reisen durch Palästina $ Mit Landkarten, Planen, Portraits und anderen Abbildungen $ Verfaßt von mehreren Gelehrten, und herausgegeben von Joachim Heinrich Jäck, königl. Bibliothekar zu Bamberg",II. Theil. 1. Bändchen,,Grätz,Graz ; http://d-nb.info/gnd/4021912-4,Graz ; http://d-nb.info/gnd/4021912-4,Druck und Papier von Joh. Andr. Kienreich,"J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846","J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846",1831,1831,"116 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,12°,1 Kupferstich-Karte,,,,ger,,Enthält freie Übersetzungen aus dem Lateinischen $ In Fraktur,,"Peter, Karl ; http://d-nb.info/gnd/1043110631 $ Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903","Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903",,,,,,,,,Burchardus de Monte Sion : Descriptio terrae sanctae $ Guilelmus de Boldensele : Liber de quibusdam ultramarinis partibus et praecipue de Terra Sancta $ Het'owm Patmič' : Historia orientalis,Kreuzzug ; Bonifatius ; Palästina ; Geschichte 1202-1204 ; Kreuzzug ; Friedrich ; Palästina ; Geschichte 1228-1229 ; Kreuzzug ; Ludwig ; Palästina ; Geschichte 1248-1254 ; Kreuzzug ; Ludwig ; Palästina ; Geschichte 1270 ; Wallfahrt ; Burchardus ; Palästina ; Syrien ; Ägypten ; Geschichte 1283-1285 ; Wallfahrt ; Wilhelm ; Palästina ; Geschichte 1334-1335,TravelogueD19 Asien $ TravelogueD19 Orient,TravelogueD19 Zusammenstellung,300638-A.24 MAG,ZKAR,
AC14478056,AC14478056,990057538230603338,http://data.onb.ac.at/ABO/%2BZ258332005,Z258332005,,Taschenbibliothek der wichtigsten und interessantesten Reisen durch Persien,Taschen-Bibliothek der wichtigsten und interessantesten See- und Landreisen : von der Erfindung der Buchdruckerkunst bis auf unsere Zeiten ; 20. Bändchen,"Taschen=Bibliothek der wichtigsten und interessantesten Reisen durch Persien $ Mit Landkarten, Planen, Portraits und anderen Abbildungen $ Verfaßt von mehreren Gelehrten, und herausgegeben von Joachim Heinrich Jäck, königl. Bibliothekar zu Bamberg",I. Theil. 2. Bändchen,,Grätz,Graz ; http://d-nb.info/gnd/4021912-4,Graz ; http://d-nb.info/gnd/4021912-4,Druck und Papier von Joh. Andr. Kienreich,"J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846","J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846",1831,1831,"104 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,12°,Die Illustration ist 1 Kupferstich-Illustration als Frontispiz. - Fußnoten mit Literaturangaben und Anmerkungen,,,,ger,,In Fraktur,,"Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903","Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903",,,,,,,,,"Sherley, Anthony : Sir A. Sherley his relation of his travels into Persia","Reise ; Sherley, Robert ; England ; Geschichte 1623 ; Reise ; Sherley, Robert ; Iran ; England ; Geschichte 1611 ; Reise ; Sherley, Anthony ; Sherley, Robert ; Naher Osten ; Iran ; Geschichte 1598",TravelogueD19 Asien Europa $ TravelogueD19 Orient,TravelogueD19 Zusammenstellung,300638-A.20 MAG,ZKAR,
AC14478005,AC14478005,990057538140603338,http://data.onb.ac.at/ABO/%2BZ258331803,Z258331803,,,Taschen-Bibliothek der wichtigsten und interessantesten See- und Landreisen : von der Erfindung der Buchdruckerkunst bis auf unsere Zeiten ; 18. Bändchen,"Taschen=Bibliothek der wichtigsten und interessantesten Reisen durch Persien $ Mit Landkarten, Planen, Portraits und anderen Abbildungen $ Verfaßt von mehreren Gelehrten, und herausgegeben von Joachim Heinrich Jäck, königl. Bibliothekar zu Bamberg",I. Theil. I. Bändchen,,Grätz,Graz ; http://d-nb.info/gnd/4021912-4,Graz ; http://d-nb.info/gnd/4021912-4,Druck und Papier von Joh. Andr. Kienreich,"J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846","J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846",1831,1831,"116 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,12°,1 Kupferstich-Karte,"Zusammenstellung von Auszügen und Kurzfassungen von 6 Reiseberichten in freier Übersetzung ; Die ""Reisen und Abenteuer des Sir Anton Sherley"" sind aus mehreren Quellen kompiliert ; Die ""Reisebeschreibung des venezianischen Patriziers Ambros Contareni"" ist eine Übersetzung des Auszuges aus Ambrogio Contareni's Werk ""Viazo"" in lateinischer Sprache, enthalten in Johannes de Laets ""Persia"" (Seite 209-214) ; Der ""Auszug aus der Reisebeschreibung eines unbekannten italienischen Kaufmannes"" ist eine Übersetzung der ""Excerpta Ex Itinerario Itali mercatoris anonymi apud Ramusium"", ebd. enthalten (Seite 214-220) ; Die ""Reisebeschreibung des Engländers Anton Jenkinson"" ist eine Übersetzung des Auszuges aus Anthony Jenkinson's Werk ""The first voyage made by Master Anthony Jenkinson, from the Citie of London, toward the land of Russia, begonne the twelfth day of Meye, in the Yeere, 1557"" in lateinischer Sprache enthalten in Johannes de Laets ""Persia"" (Seite 259-268)",,,ger,lat,Enthält Expressionen von aus dem Lateinischen übersetzten Werken $ In Fraktur,,"Laet, Johannes <<de>> ; http://d-nb.info/gnd/100171249","Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903","Fiedler, Michael",,,,,,Reisebericht,,"Sherley, Anthony : Sir A. Sherley his relation of his travels into Persia $ Sherley, Anthony : Voyage to S. Jago, Dominica, Marguerita, Jamaica, to the Bay of Honduras and homeward by New Foundland in the year 1596 $ Laet, Johannes <<de>> : Persia $ Jenkinson, Anthony : The first voyage made by Master Anthony Jenkinson, from the Citie of London, toward the land of Russia, begonne the twelfth day of Meye, in the Yeere, 1557 $  : Viaggio d'un Mercante nella Persia, dall'anno 1507 sino all'anno 1520 $  : Contarini, Ambrogio $ Barbaro, Giosafat : Viaggi fatti da Vinetia, alla Tana, in Persia","Gesandtschaft ; Venedig ; Barbaro, Giosafat ; Tataren ; Iran ; Geschichte 1494 ; Gesandtschaft ; Venedig ; Contarini, Ambrogio ; Iran ; Geschichte 1474-1477 ; Reise ; Russland ; Usbekistan ; Geschichte 1507-1520 ; Reise ; Jenkinson, Anthony ; Iran ; Geschichte 1557 ; Reise ; Sherley, Anthony ; Naher Osten ; Iran ; Geschichte 1598 ; Reise ; Schiffsreise ; Sherley, Anthony ; Karibik ; Geschichte 1596",TravelogueD19 Asien Nordamerika $ TravelogueD19 Orient,TravelogueD19 Zusammenstellung,300638-A.18 MAG,ZKAR,
AC14477995,AC14477995,990057538120603338,http://data.onb.ac.at/ABO/%2BZ258331700,Z258331700,,Taschenbibliothek der wichtigsten und interessantesten Reisen durch Griechenland,Taschen-Bibliothek der wichtigsten und interessantesten See- und Landreisen : von der Erfindung der Buchdruckerkunst bis auf unsere Zeiten ; 17. Bändchen,"Taschen=Bibliothek der wichtigsten und interessantesten Reisen durch Griechenland $ Mit Landkarten, Planen, Portraits und anderen Abbildungen $ Verfaßt von mehreren Gelehrten, und herausgegeben von Joachim Heinrich Jäck, königl. Bibliothekar zu Bamberg",I. Theil. 2. Bändchen,,Grätz,Graz ; http://d-nb.info/gnd/4021912-4,Graz ; http://d-nb.info/gnd/4021912-4,Druck und Papier von Joh. Andr. Kienreich,"J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846","J.-A.-Kienreichsche Buchhandlung ; http://d-nb.info/gnd/10038110-8 $ Kienreich, Johann Andreas ; http://d-nb.info/gnd/1013631846",1831,1831,"124 Seiten, 4 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,12°,Die Illustration ist 1 Kufperstich-Illustration als Frontispiz. - Fußnoten mit Literaturangaben und Anmerkungen,,,,ger,,Enthält freie Übersetzung aus dem Französischen $ In Fraktur,,"Peter, Carl Ludwig ; http://d-nb.info/gnd/116095075","Jaeck, Heinrich Joachim ; http://d-nb.info/gnd/119486903",,,,,,,,,"Spon, Jacob : Voyage d'Italie, de Dalmatie, de Grèce et du Levant","Reise ; Spon, Jacob ; Mittelmeerraum ; Südeuropa ; Südosteuropa ; Naher Osten ; Geschichte 1575-1576",TravelogueD19 Europa Asien $ TravelogueD19 Orient,TravelogueD19 Zusammenstellung,300638-A.17 MAG,ZKAR,
AC12652449,AC12652449,990048098010603338,http://data.onb.ac.at/ABO/%2BZ220307708,Z220307708,"Pückler-Muskau, Hermann <<von>> ; http://d-nb.info/gnd/118597019",<<Die>> Rückkehr,,<<Die>> Rückkehr $ Vom Verfasser der Briefe eines Verstorbenen [das heißt Hermann von Pückler-Muskau],Dritter und letzter Theil ; Syrien und Kleinasien,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,Berlin ; http://d-nb.info/gnd/4005728-8,"Verlag von Alexander Duncker, Königl. Hofbuchhändler $ Gedruckt bei A. W. Schade","Verlag Alexander Duncker ; http://d-nb.info/gnd/1027775950 $ Duncker, Alexander ; http://d-nb.info/gnd/11625159X",Buchdruckerei A. W. Schade ; http://d-nb.info/gnd/3043701-5,1848,1848,"4 ungezählte Seiten, 455 Seiten",,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignette (Verlagssignet) auf dem Titelblatt ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas, S. 368",,,ger,,In Fraktur,,,,,,,,,,Reisebericht,,,Reise ; Naher Osten ; Syrien ; Anatolien ; Türkei ; Geschichte 1838 circa,TravelogueD19 Asien $ TravelogueD19 Orient,,687792-B.3 MAG,ZALT,
AC12652444,AC12652444,990048097990603338,http://data.onb.ac.at/ABO/%2BZ220307605,Z220307605,"Pückler-Muskau, Hermann <<von>> ; http://d-nb.info/gnd/118597019",<<Die>> Rückkehr,,<<Die>> Rückkehr $ Vom Verfasser der Briefe eines Verstorbenen [das heißt Hermann von Pückler-Muskau],Zweiter Theil ; Syrien,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,Berlin ; http://d-nb.info/gnd/4005728-8,"Verlag von Alexander Duncker, Königl. Hofbuchhändler $ Gedruckt bei A. W. Schade","Verlag Alexander Duncker ; http://d-nb.info/gnd/1027775950 $ Duncker, Alexander ; http://d-nb.info/gnd/11625159X",Buchdruckerei A. W. Schade ; http://d-nb.info/gnd/3043701-5,1847,1847,"4 ungezählte Seiten, 379 Seiten",,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignette (Verlegermarke) auf dem Titelblatt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas, S. 368",,,ger,,In Fraktur,,,,,,,,,,Reisebericht,,,Reise ; Naher Osten ; Syrien ; Geschichte 1838 circa,TravelogueD19 Europa Afrika $ TravelogueD19 Orient,,687792-B.2 MAG,ZALT,
