,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC13290113,AC13290113,990057720360603338,http://data.onb.ac.at/ABO/%2BZ258871408,Z258871408,"Anburey, Thomas ; http://d-nb.info/gnd/14128255X",Travels through the interior parts of America ; (DE-588)115562419X,Magazin von merkwürdigen neuen Reisebeschreibungen ; Sechster Band,<<Anburey's>> Reisen im inneren Amerika $ Aus dem Englischen übersetzt von Georg Forster,,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Christian Friedrich Voss und Sohn ; http://d-nb.info/gnd/6146570-7,,1792,1792,"IX, 444 Seiten, 1 ungezähltes Blatt Bildtafel, 2 ungezählte gefaltete Blätter","2 Illustrationen, 1 Karte",2,1,8°,"Die Illustrationen sind 1 Kupferstich-Illustration, 1 Kupferstich-Plan und 1 Kupferstich-Karte (gezeichnet von D. F. Sotzmann)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; VD18 10239162. - Die Titel sind den Seiten 1, 373 und 399 entnommen.","Seite [III]-IX: Vorrede des Herausgebers Georg Forster, Datum Mainz",,ger,eng $ fre,Zusammenstellung von aus dem Englischen und Französischen übersetzten Werken $ In Fraktur,VD18 10239162-001,"Coste d'Arnobat, Charles Pierre ; http://d-nb.info/gnd/104318813 $ Howel, Thomas","Forster, Georg ; http://d-nb.info/gnd/118534416","Forster, Georg ; http://d-nb.info/gnd/118534416",,,"Schleuen, Johann Wilhelm ; http://d-nb.info/gnd/124613209 $ Panningh, H. I.",,,Reisebericht,"Reise nach Bambnk [das heißt: Bambuk] $ <<Thomas Howels>> Tagebuch seiner Reise von Indien durch Armenien und Natolien oder Kleinasien, nach England","Coste d'Arnobat, Charles Pierre : Voyage au pays de Bambouc ; http://d-nb.info/gnd/1155937872 $ Howel, Thomas : <<A>> journal of the passage from India, by a route partly unfrequented, through Armenia and Natolia ; http://d-nb.info/gnd/1155938518","Nordamerika ; Entdeckungsreise ; Geschichte 1771-1781 ; Coste d'Arnobat, Charles Pierre ; Bambouk ; Senegal ; Reise ; Geschichte 1790 ; Howel, Thomas ; Naher Osten ; Armenien ; Anatolien ; Konstantinopel ; Indien ; Reise ; Geschichte 1787-1788 ; Orient ; Osmanisches Reich",TravelogueD18 Nordamerika Asien $ TravelogueD18 Orient,TravelogueD18 Zusammenstellung,393869-B MAG,ZKAR,VD18 10239162-001
AC03116036,AC03116036,990004458740603338,"http://data.onb.ac.at/ABO/%2BZ42125705;
http://data.onb.ac.at/ABO/%2BZ171041408","Z42125705;
Z171041408","Anburey, Thomas ; http://d-nb.info/gnd/14128255X",Travels through the interior parts of America ; (DE-588)115562419X,Magazin von merkwürdigen neuen Reisebeschreibungen ; Zwölfter Band,<<Anburey's>> Reisen im innern Amerika $ Aus dem Englischen übersetzt von Georg Forster,Zweyte Abtheilung,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"2 ungezählte Seiten, 381 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,"Die Illustration ist 1 Kupferstich-Karte (""Lauf der Flüsse Tigris und Euphrat, und der Weg von Basra nach Konstantinopel"", gezeichnet von D. F. Sotzmann)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Die Titel sind den Seiten 1, 262 und 307 entnommen",,,ger,eng $ fre,Enthält Expressionen von aus dem Englischen und Französischen übersetzten Werken $ In Fraktur,,"Coste d'Arnobat, Charles Pierre ; http://d-nb.info/gnd/104318813 $ Howel, Thomas",,"Forster, Georg ; http://d-nb.info/gnd/118534416",,,,,,Reisebericht,"Reise nach Bambuk $ <<Dr. Thomas Howels>> Tagebuch seiner Reise von Indien, durch Armenien und Natolien oder Kleinasien, nach England","Coste d'Arnobat, Charles Pierre : Voyage au pays de Bambouc ; http://d-nb.info/gnd/1155937872 $ Howel, Thomas : <<A>> journal of the passage from India, by a route partly unfrequented, through Armenia and Natolia ; http://d-nb.info/gnd/1155938518","Amerika ; Reisebericht 1777-1781 ; Reisebericht ; Entdeckungsreise ; Geschichte 1771-1781 ; Senegal ; Geschichte 1790 ; Quelle ; Coste d'Arnobat, Charles Pierre ; Bambouk ; Senegal ; Reise ; Geschichte 1790 ; Anatolien ; Reisebericht 1787-1788 ; Howel, Thomas ; Indien ; Naher Osten ; Armenien ; Anatolien ; Reise ; Geschichte 1787-1788 ; Orient ; Osmanisches Reich",TravelogueD18 Nordamerika Asien $ TravelogueD18 Orient,TravelogueD18 Zusammenstellung,"303755-A.12 MAG $ 276879-A.12 MAG $ UNASSIGNED $ 276879-A,1-20 MAG",ZALT $ ZFID $ ZALT $ ZFID,
AC03116063,AC03116063,990004458790603338,"http://data.onb.ac.at/ABO/%2BZ42125900;
http://data.onb.ac.at/ABO/%2BZ171041202","Z42125900;
Z171041202","Beaufoy, Henry ; http://d-nb.info/gnd/117579254",Plan of the association for promoting the discovery of the interior parts of Africa,Magazin von merkwürdigen neuen Reisebeschreibungen ; Zehnter Band,Unternehmungen der Gesellschaft zur Beförderung der Entdeckungen im Jnnern von Afrika,,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143",1792,1792,"4 ungezählte Seiten, 361 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1,8°,"Die Illustration ist eine Kupferstich-Karte (Karte von Nord- und Zentralafrika, von D. F. Sotzmann, Datum 1791). - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Nachdruck der Ausgabe Berlin, Voss ; Verfasser nicht auf der Titelseite genannt ; Die Titel sind den Seiten 1 und 251 entnommen. - Der Bericht über die ""Unternehmungen der Gesellschaft zur Befürderung der Entdeckungen im Innern von Afrika"" enthält u.a. Berichte über Reisen und Auszüge aus Reiseberichten von: ""Herrn Leyards Ankunft in Kahira."" (Seite 25-52), ""Herrn Lukas Ankunft in Tripoli. Seine Aufnahme bey dem Pascha. Seine Reise nach Mesurata mit den Scherifs Fouwad und Jmhammed"" (Seite 53-89).",,,ger,eng,Aus dem Englischen übersetzt $ In Fraktur,,"Norris, Robert",,,,,"Sotzmann, Daniel Friedrich ; http://d-nb.info/gnd/104285850",,,Reisebericht,,"Norris, Robert : Memoirs of the reign of Bossa Ahádee, king of Dahomy ; http://viaf.org/viaf/313402099","Association for Promoting the Discovery of the Interior Parts of Africa ; Zentralafrika ; Entdeckungsreise ; Geschichte 1788-1790 ; Norris, Robert ; Benin ; Entdeckungsreise ; Geschichte 1772 ; Ledyard, John ; Ägypten ; Reise ; Geschichte 1788 ; Lucas, Paul ; Reise ; Nordafrika ; Tripolis ; Geschichte ; Osmanisches Reich",TravelogueD18 Afrika $ TravelogueD18 Orient,TravelogueD18 Zusammenstellung,"303755-A.10 MAG $ 276879-A.10 MAG $ UNASSIGNED $ 276879-A,1-20 MAG",ZALT $ ZFID $ ZALT $ ZFID,
AC15243601,AC15243601,9958529777603338,http://data.onb.ac.at/ABO/%2BZ124958704,Z124958704,"Björnst°ahl, Jacob Jonas ; http://d-nb.info/gnd/11893029X","Resa til Frankrike, Italien, Sweitz, Tyskland, Holland, England, Turkiet och Grekland ; 1780-1784",,<<Jacob Jonas Björnståhl Professors der morgenländischen Sprachen zu Lund>> Briefe auf seinen ausländischen Reisen $ an den Königlichen Bibliothekar C. C. Gjörwell in Stockholm $ Aus dem Schwedischen übersetzt von Just Ernst Groskurd,"[4,1] = Der morgenländischen Briefe Erstes Heft",,Leipzig und  Rostock,Rostock ; http://d-nb.info/gnd/4050610-1 $ Leipzig ; http://d-nb.info/gnd/4035206-7,,bey Johann Christian Koppe,"Koppe, Johann Christian ; http://d-nb.info/gnd/1019285591",,1779,1779,"16 ungezählte Seiten, 104 Seiten",,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Vignetten im Text,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0129","Ungezählte Seite 3-14: Vorbericht des Übersetzers Just Ernst Groskurd, Datum Stockholm Mosgaard bey Aarhus in Jütland, 17.08.1779",,ger,swe,Aus dem Schwedischen übersetzt $ In Fraktur,,,,"Groskurd, Just Ernst ; http://d-nb.info/gnd/130417971",,,,,,Briefsammlung $ Reisebericht,,,Reise ; Konstantinopel ; Geschichte 1777-1779 ; Osmanisches Reich ; Orient,TravelogueD18 Asien $ TravelogueD18 Orient,,"251599-B.4,1 MAG",ZFID,
AC05626451,AC05626451,9958529661703338,http://data.onb.ac.at/ABO/%2BZ156725208,Z156725208,"Björnst°ahl, Jacob Jonas ; http://d-nb.info/gnd/11893029X","Resa til Frankrike, Italien, Sweitz, Tyskland, Holland, England, Turkiet och Grekland ; 1780-1784",,<<Jacob Jonas Björnståhl>> Briefe auf seinen ausländischen Reisen an den Königlichen Bibliothekar C. C. Gjörwell in Stockholm $ Aus dem Schwedischen übersetzt von Just Ernst Groskurd und Christian Heinrich Groskurd,Vierter Band ; welcher Briefe aus der Türkey und Griechenland enthält,,Rostock und Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7 $ Rostock ; http://d-nb.info/gnd/4050610-1,,bey Johann Christian Koppe,"Koppe, Johann Christian ; http://d-nb.info/gnd/1019285591",,1781,1781,"18 ungezählte Seiten, 412 Seiten, 4 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist ein gestochenes Frontispiz: Porträt-Kupfer des Verfassers (gestochen von Gottlob August Liebe),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0129 ; Chatzipanagioti-Sangmeister, 0072","Blatt )(2a-)(7b: Vorbericht des Übersetzers, Datum Moosgaard bey Aarhuus in Jütland, 07.08.1779",,ger,swe,Aus dem Schwedischen übersetzt $ In Fraktur,,,,"Groskurd, Christian Heinrich ; http://d-nb.info/gnd/118053116 $ Groskurd, Just Ernst ; http://d-nb.info/gnd/130417971",,,"Liebe, Gottlob August ; http://d-nb.info/gnd/130561819",,,Briefsammlung $ Reisebericht,,,Reise ; Griechenland ; Türkei ; Geschichte 1777-1779 ; Orient ; Osmanisches Reich,TravelogueD18 Europa Asien $ TravelogueD18 Orient,,*48.J.103.(Vol.4) PRUNK,ZALT,
AC05626453,AC05626453,9958529661503338,http://data.onb.ac.at/ABO/%2BZ156725403,Z156725403,"Björnst°ahl, Jacob Jonas ; http://d-nb.info/gnd/11893029X","Resa til Frankrike, Italien, Sweitz, Tyskland, Holland, England, Turkiet och Grekland ; 1780-1784",,<<Jacob Jonas Björnståhl's>> Briefe auf seinen ausländischen Reisen an den Königlichen Bibliothekar C. C. Gjörwell in Stockholm $ Aus dem Schwedischen übersetzt von Christian Heinrich Groskurd,Sechster Band ; welcher theils Björnstahls Tagebuch der Reise nach der Türkey und des fernern Aufenthalts zu Konstantinopel und in Griechenland ; theils Professor Norbergs Briefe aus Italien und Konstantinopel enthält,,Leipzig und Rostock,Leipzig ; http://d-nb.info/gnd/4035206-7 $ Rostock ; http://d-nb.info/gnd/4050610-1,,bey Johann Christian Koppe,"Koppe, Johann Christian ; http://d-nb.info/gnd/1019285591",,1783,1783,"4 ungezählte Seiten, XXVIII, 28 ungezählte Seiten, 474 Seiten",,,,8°,Kein illustrierender Inhalt. -  Holzschnitt-Vignetten im Text,"Bibliographischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0129 ; Chatzipanagioti-Sangmeister, 0072","Seite I-XXVIII: Vorbericht des Übersetzers, Datum Stralsund 18.09.1783. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Kuhrfürst. Sächsischem Privilegio. Leipzig und Rostock, bey Johann Christian Koppe. 1783.",,ger,swe,Aus dem Schwedischen übersetzt $ Aus dem Schwedischen übersetzt $ In Fraktur,,"Norberg, Matthias ; http://d-nb.info/gnd/119051745",,"Groskurd, Christian Heinrich ; http://d-nb.info/gnd/118053116",,,,,,Reisebericht,,,"Reise ; Italien ; Frankreich ; Geschichte 1778-1779 ; Osmanisches Reich ; Konstantinopel ; Reise ; Norberg, Matthias ; Geschichte 1779 ; Reise ; Paris ; Norberg, Matthias ; Geschichte 1781",TravelogueD18 Europa Asien $ TravelogueD18 Orient,,*48.J.103.(Vol.6) PRUNK,ZALT,
AC09741212,AC09741212,990028948220603338,http://data.onb.ac.at/ABO/%2BZ155909105,Z155909105,"Browne, Edward ; http://d-nb.info/gnd/100433553","Brief account of some travels in hungaria, servia, bulgaria, macedonia, thessaly, austria, styria, carinthia, carniola, and friuli ; 1673 ; http://viaf.org/viaf/88813424",,"<<Edward Brown, M. D.>> Auf genehmgehaltenes Gutachten und Veranlassung der Kön. Engell. Medicinischen Gesellschaft in London Durch Niederland/ Teutschland/ Hungarn/ Servien/ Bulgarien/ Macedonien/ Thessalien/ Oesterreich/ Steurmarck/ Kärnthen/ Carniolen/ Frieul/ etc. gethane gantz sonderbare Rejsen/ $ Worbey tausenderley merckwürdige Seltsamkeiten, verschiedener Königreiche/ Länder/ ober= und unter=irdischer verwunderlicher Gebäue/ Städte/ Bäder/ Brunnen/ Flüsse/ Berge/ wie auch Gold= Silber= Kupffer= Bley= und Ovecksilber=Minen/ und andere Mineralien etc. benebenst einem woluntersuchten Unterschied vielerley Völcker/ deren Religionen/ Sprach=Arten/ Kleidung/ Leibs= und Gemüths=Beschaffenheit: Fremder Thiere/ Früchte etc. auf das eigentlichst=deutlichst= und lebhaffteste vorgestellet werden;  Auf eine recht ungemeine/ gelehrte/ in andern deßfalls ausgegebenen Schrifften nicht befindliche Weise/ mit durch und durch beygebrachten hochvernünfftigen Anmerckungen/ anfangs in Englischer/ nachgehends in Holländischer Sprach beschrieben/ Nunmehr aber aus der letztern in die Hoch=Teutsche übersetzet/ und dem gemeinen Besten zu Nutz/ auch denen sonst Neuigkeits=Lieb=Gesinnten/ zu verhoffentlich mercklichem Gefallen/ als ein stattliches mit einigen netten Kupfferblatten ausgeziertes/ auch einem nöthigen Register erläutertes Werck/ auf vieler Verlangen/ durch öffentlichen Druck zum andern mal gemein gemacht",,auf vieler Verlangen/ durch öffentlichen Druck zum andern mal gemein gemacht,Nürnberg,Nürnberg ; http://d-nb.info/gnd/4042742-0,,verlegts Johann Zieger/Buchhändler,"Zieger, Johann ; http://d-nb.info/gnd/12912706X",,1711,1711,"4 ungezählte Seiten, 334 Seiten, 12 ungezählte Seiten, 10 ungezählte Blätter Bildtafeln, 8 ungezählte gefaltete Blätter Bildtafeln",18 Illustrationen,18,,4°,"Die Illustrationen sind 15 Kupferstich-Illustrationen (teilweise signiert von Johann Franz Wiesim), 1 Kupferstich-Plan (von Neu Palma), 1 Kupferstich-Porträt (von Kaiser Leopold I), 1 illustrierender Kupfertitel als Frontispiz (gestochen und signiert von Cornelius Nicolaus C. Schurfs, Datum 1685). - Titelblatt in Rot- und Schwarz-Druck ; Holzschnitt-Vignetten und Zierleisten im Text",Bibliografischer Nachweis: VD18 1441208X ; Bibliografie Reiseliteratur Eutin,Ungezählte Seite 3-4: Vorrede des Verfassers an den Leser,"Signaturformel: [2], A-Z4, Aa-Uu4, X1",ger,eng,Aus dem Niederländischen übersetzt. Originalsprache des Werkes ist Englisch,VD18 1441208X,,,,,,"Wiesim, Johann Franz $ Schurfs, Cornelius Nicolaus",,,Reisebericht,,,Europa ; Reise ; Geschichte 1668-1673,TravelogueD18 Europa $ TravelogueD18 Orient,,48.H.40* PRUNK,ZALT,VD18 1441208X
AC08512807,AC08512807,9958529656303338,http://data.onb.ac.at/ABO/%2BZ173319803,Z173319803,"Bruce, James ; http://d-nb.info/gnd/117636258",Travels to discover the source of the Nile ; 1790 ; http://viaf.org/viaf/186683665,,"Reisen zur Entdeckung der Quellen des Nils $ in den Jahren 1768, 1769, 1770, 1771, 1772 und 1773 in fünf Bänden $ von James Bruce von Kinnaird, Es. F. R. S. Jns Teutsche übersetzt von J. J. Volkmann D. und mit einer Vorrede und Anmerkungen versehen von Johann Friedrich Blumenbach. Prof. zu Gött. und Königl. Großbrit. Hofrath",Erster Band,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,in der Weidmannschen Buchhandlung,Weidmannische Buchhandlung ; http://d-nb.info/gnd/5036107-7,,1790,1790,"XXVIII, 579 Seiten, 7 ungezählte Seiten Schriftbeispiel, 8 Blätter Bildtafeln, 1 ungezähltes mehrfach gefaltetes Blatt Karte","8 Illustrationen, 1 Karte, 1 Schriftbeispiel",8,1,8°,"Die Illustrationen sind 1 Kupferstich-Vignette auf dem Titelblatt (signiert von Endner), 8 Kupferstich-Illustrationen, 1 Kupferstich-Karte, 1 Schriftbeispiel. - Fußnoten","Bibliografischer Nachweis: VD18 90267249 ; Bibliografie Reiseliteratur Eutin ; Engelmann 166 ; Kainbacher, Erforschung Afrikas, S. 66 ; Henze I, 373 ; Tenri, 1477","Seite III-XXIII: Vorrede  des Herausgebers Johann Friedrich Blumenbach, Datum 10.09.1790. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Churfürstl. Sächs. gnädigster Freyheit. Leipzig, in der Weidmannschen Buchhandlung. 1790.",,ger,eng,Aus dem Englischen übersetzt $ In Fraktur,VD18 90267249,,,"Volkmann, Johann Jacob ; http://d-nb.info/gnd/104361158 $ Blumenbach, Johann Friedrich ; http://d-nb.info/gnd/116208503","Blumenbach, Johann Friedrich ; http://d-nb.info/gnd/116208503",,"Endner, Gustav Georg ; http://d-nb.info/gnd/124167691",,,Reisebericht,,,Forschungsreise ; Nil ; Quelle ; Geschichte 1768-1773,TravelogueD18 Afrika Europa $ TravelogueD18 Orient,,253580-B.1 MAG,ZFID,VD18 90267249
AC08512815,AC08512815,9958529656203338,http://data.onb.ac.at/ABO/%2BZ173319906,Z173319906,"Bruce, James ; http://d-nb.info/gnd/117636258",Travels to discover the source of the Nile ; 1790 ; http://viaf.org/viaf/186683665,,"Reisen zur Entdeckung der Quellen des Nils $ in den Jahren 1768, 1769, 1770, 1771, 1772 und 1773 in fünf Bänden $ von James Bruce von Kinnaird, Esq.  F. R. S. Jns Teutsche übersetzt von J. J. Volkmann D. und mit einer Vorrede und Anmerkungen versehen von Johann Friedrich Blumenbach",Zweyter Band,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,in der Weidmannschen Buchhandlung,Weidmannische Buchhandlung ; http://d-nb.info/gnd/5036107-7,,1790,1790,"VIII, 710 Seiten",1 Illustration,1,,8°,Die Illustration ist 1 Titelkupfer gestochen und signiert von  G. G. Endner).  - Literaturangaben,"Bibliografischer Nachweis: VD18 90267176 ; Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas, S. 66 ; Henze I, 373 ; Tenri, 1477","Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Churfürstl. Sächs. gnädigster Freyheit. Leipzig, in der Weidmannschen Buchhandlung. 1790.",,ger,eng,Aus dem Englischen übersetzt $ In Fraktur,VD18 90267176,,,"Volkmann, Johann Jacob ; http://d-nb.info/gnd/104361158","Blumenbach, Johann Friedrich ; http://d-nb.info/gnd/116208503",,"Endner, Gustav Georg ; http://d-nb.info/gnd/124167691",,,Reisebericht,,,Forschungsreise ; Nil ; Quelle ; Geschichte 1768-1773,TravelogueD18 Afrika $ TravelogueD18 Orient,,253580-B.2 MAG,ZFID,VD18 90267176
AC08512822,AC08512822,9958529656103338,http://data.onb.ac.at/ABO/%2BZ173320003,Z173320003,"Bruce, James ; http://d-nb.info/gnd/117636258",Travels to discover the source of the Nile ; 1790 ; http://viaf.org/viaf/186683665,,"Reisen zur Entdeckung der Quellen des Nils $ in den Jahren 1768, 1769, 1770, 1771, 1772 und 1773 in fünf Bänden $ von James Bruce von Kinnaird, Es. F. R. S. Jns Teutsche übersetzt von J. J. Volkmann D. und mit einer Vorrede und Anmerkungen versehen von Johann Friedrich Blumenbach, Prof. zu Gött. und Königl. Großbrit. Hofrath",Dritter Band,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,in der Weidmannschen Buchhandlung,Weidmannische Buchhandlung ; http://d-nb.info/gnd/5036107-7,,1791,1791,"VI, 757 Seiten, 3 Blätter Bildtafeln, mehrfach gefaltetes Blatt 4","3 Illustrationen, 1 Karte",3,1,8°,"Die Illustrationen sind 2 Kupferstich-Illustrationen, 1 Kupferstich-Plan, 1 Kupferstich-Karte, 1 Titelkupfer (gestochen und signiert von G. G. Endner). - Fußnoten","Bibliografischer Nachweis: VD18 90267184 ; Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas, S. 66 ; Henze I, 373 ; Tenri, 1477","Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Churfürstl. Sächs. gnädigster Freyheit. Leipzig, in der Weidmannschen Buchhandlung. 1791.",,ger,eng,Aus dem Englischen übersetzt $ In Fraktur,VD18 90267184,,,"Volkmann, Johann Jacob ; http://d-nb.info/gnd/104361158","Blumenbach, Johann Friedrich ; http://d-nb.info/gnd/116208503",,"Endner, Gustav Georg ; http://d-nb.info/gnd/124167691",,,Reisebericht,,,Forschungsreise ; Nil ; Quelle ; Geschichte 1768-1773,TravelogueD18 Afrika $ TravelogueD18 Orient,,253580-B.3 MAG,ZFID,VD18 90267184
